Level,Metric,n,Mean error,Std error,|error| mean,Interval width,Coverage %
Consistent,DD,3000,-0.002,0.1064,0.0763,0.3671,99.8
Consistent,DI,3000,-0.0054,0.3754,0.2027,1.1561,99.8
Low,DD,6000,-0.0012,0.1132,0.083,0.3972,93.5
Low,DI,6000,-0.0159,0.4048,0.219,1.1842,93.4
Medium,DD,6000,-0.0019,0.1429,0.1084,0.4068,80.9
Medium,DI,6000,-0.0217,0.4879,0.282,1.1982,80.8
High,DD,6000,-0.0011,0.1969,0.1497,0.3168,55.9
High,DI,6000,0.0126,0.7547,0.4035,0.9878,56.2
All,DD,21000,-0.0015,0.149,0.1083,0.3727,80.1
All,DI,21000,-0.0079,0.5458,0.2874,1.1281,80.1
